filename,seen,file_size_mb,n_instances,dataset_location
Experiment-112_b0s1c0x418794-2776y10411-2080m0.tiff,no,10.031562,0,unseen
Part-one_b0s2c0x29981-2776y49641-2080m195.tiff,no,13.86431,0,unseen
Part-one_b0s0c0x287180-2776y11232-2080m55.tiff,no,14.35147,0,unseen
Part-one_b0s2c0x27482-2776y47769-2080m180.tiff,no,13.918522,0,unseen
Part-one_b0s0c0x292177-2776y26208-2080m123.tiff,no,15.08818,0,unseen
Experiment-112_b0s1c0x431286-2776y34747-2080m128.tiff,no,10.16184,0,unseen
Experiment-112_b0s2c0x184003-2776y101249-2080m131.tiff,no,12.609768,0,unseen
Part-one_b0s2c0x22485-2776y44025-2080m150.tiff,no,13.88662,0,unseen
Experiment-112_b0s1c0x426289-2776y27259-2080m79.tiff,no,11.916678,0,unseen
Experiment-112_b0s5c0x48607-2776y114083-2080m20.tiff,no,12.492626,0,unseen
Part-one_b0s2c0x29981-2776y36537-2080m99.tiff,no,13.925536,0,unseen
Experiment-112_b0s1c0x413798-2776y27259-2080m74.tiff,no,11.019458,0,unseen
Experiment-112_b0s4c0x7495-2776y115426-2080m120.tiff,no,12.970082,0,unseen
Experiment-112_b0s2c0x181505-2776y82529-2080m33.tiff,no,12.691136,0,unseen
Part-one_b0s1c0x335251-2776y23835-2080m76.tiff,no,13.76172,0,unseen
Experiment-112_b0s0c0x399916-2776y5616-2080m30.tiff,no,12.384038,0,unseen
Experiment-112_b0s5c0x31118-2776y132803-2080m123.tiff,no,10.022824,0,unseen
Part-one_b0s2c0x17489-2776y17817-2080m0.tiff,no,13.711406,0,unseen
Part-one_b0s1c0x337750-2776y38811-2080m178.tiff,no,13.724408,0,unseen
Part-one_b0s1c0x342746-2776y20091-2080m49.tiff,no,14.82082,0,unseen
Part-one_b0s2c0x14990-2776y34665-2080m79.tiff,no,13.820664,0,unseen
Part-one_b0s1c0x345245-2776y12603-2080m3.tiff,no,13.732718,0,unseen
Part-one_b0s0c0x287180-2776y24336-2080m114.tiff,no,15.09375,0,unseen
Part-one_b0s0c0x297173-2776y20592-2080m105.tiff,no,14.005376,0,unseen
Part-one_b0s2c0x24984-2776y38409-2080m111.tiff,no,13.881086,0,unseen
Part-one_b0s1c0x325258-2776y18219-2080m27.tiff,no,15.498956,0,unseen
Experiment-112_b0s4c0x2498-2776y102322-2080m42.tiff,no,12.7602,0,unseen
Experiment-112_b0s0c0x402414-2776y26208-2080m147.tiff,no,9.990398,0,unseen
Experiment-112_b0s4c0x7495-2776y107938-2080m80.tiff,no,12.774118,0,unseen
Part-one_b0s2c0x27482-2776y32793-2080m70.tiff,no,13.939294,0,unseen
Experiment-112_b0s3c0x220811-2776y104793-2080m80.tiff,no,13.158816,0,unseen
Part-one_b0s2c0x14990-2776y44025-2080m147.tiff,no,13.839964,0,unseen
Experiment-112_b0s0c0x382427-2776y11232-2080m56.tiff,no,10.44404,0,unseen
Part-one_b0s0c0x309666-2776y7488-2080m42.tiff,no,15.154404,0,unseen
Part-one_b0s0c0x284682-2776y31824-2080m143.tiff,no,15.155058,0,unseen
Experiment-112_b0s4c0x9993-2776y98578-2080m21.tiff,no,11.67763,0,unseen
Part-one_b0s0c0x294675-2776y5616-2080m26.tiff,no,15.18951,0,unseen
Part-one_b0s1c0x320261-2776y31323-2080m119.tiff,no,15.018502,0,unseen
Experiment-112_b0s5c0x36114-2776y136547-2080m146.tiff,no,10.1315,0,unseen
Experiment-112_b0s4c0x14990-2776y107938-2080m83.tiff,no,12.38197,0,unseen
Experiment-112_b0s2c0x186501-2776y90017-2080m81.tiff,no,12.612726,0,unseen
Experiment-112_b0s5c0x51105-2776y129059-2080m110.tiff,no,11.601992,0,unseen
Experiment-112_b0s2c0x176508-2776y86273-2080m55.tiff,no,12.817448,0,unseen
Part-one_b0s0c0x289678-2776y13104-2080m67.tiff,no,15.415836,0,unseen
Experiment-112_b0s2c0x171511-2776y93761-2080m96.tiff,no,9.841158,0,unseen
Part-one_b0s1c0x322760-2776y40683-2080m185.tiff,no,15.087326,0,unseen
Part-one_b0s2c0x34977-2776y49641-2080m197.tiff,no,13.709608,0,unseen
Experiment-112_b0s4c0x17489-2776y115426-2080m124.tiff,no,10.26332,0,unseen
Experiment-112_b0s3c0x225808-2776y104793-2080m82.tiff,no,9.962152,0,unseen
Part-one_b0s2c0x29981-2776y51513-2080m208.tiff,no,13.86447,0,unseen
Experiment-112_b0s5c0x38613-2776y119699-2080m45.tiff,no,10.725144,0,unseen
Part-one_b0s1c0x317763-2776y25707-2080m83.tiff,no,14.994738,0,unseen
Experiment-112_b0s2c0x186501-2776y95633-2080m110.tiff,no,13.152436,0,unseen
Experiment-112_b0s5c0x53603-2776y136547-2080m153.tiff,no,10.349612,0,unseen
Part-one_b0s1c0x332753-2776y33195-2080m137.tiff,no,15.295584,0,unseen
Experiment-112_b0s4c0x4997-2776y113554-2080m111.tiff,no,12.20202,0,unseen
Experiment-112_b0s2c0x174010-2776y97505-2080m113.tiff,no,9.805068,0,unseen
Experiment-112_b0s1c0x423791-2776y23515-2080m55.tiff,no,12.40796,0,unseen
Part-one_b0s0c0x297173-2776y13104-2080m70.tiff,no,14.945788,0,unseen
Experiment-112_b0s3c0x210818-2776y116025-2080m146.tiff,no,12.860748,0,unseen
Part-one_b0s1c0x312766-2776y40683-2080m181.tiff,no,15.06848,0,unseen
Part-one_b0s2c0x12492-2776y42153-2080m132.tiff,no,13.834994,0,unseen
Experiment-112_b0s2c0x193997-2776y80657-2080m26.tiff,no,10.662316,0,unseen
Experiment-112_b0s0c0x399916-2776y7488-2080m41.tiff,no,12.884206,0,unseen
Experiment-112_b0s2c0x181505-2776y93761-2080m100.tiff,no,13.200646,0,unseen
Experiment-112_b0s1c0x426289-2776y32875-2080m115.tiff,no,12.118018,0,unseen
Experiment-112_b0s4c0x12492-2776y102322-2080m46.tiff,no,12.631056,0,unseen
Experiment-112_b0s3c0x213316-2776y104793-2080m77.tiff,no,13.134174,0,unseen
Experiment-112_b0s2c0x184003-2776y104993-2080m143.tiff,no,9.84853,0,unseen
Part-one_b0s1c0x325258-2776y33195-2080m134.tiff,no,14.697348,0,unseen
Part-one_b0s1c0x345245-2776y14475-2080m10.tiff,no,13.899234,0,unseen
Experiment-112_b0s0c0x394919-2776y14976-2080m83.tiff,no,11.54279,0,unseen
Part-one_b0s2c0x32479-2776y38409-2080m114.tiff,no,13.80168,0,unseen
Part-one_b0s1c0x325258-2776y65019-2080m310.tiff,no,13.720858,0,unseen
Experiment-112_b0s5c0x43610-2776y114083-2080m18.tiff,no,12.413284,0,unseen
Experiment-112_b0s3c0x208319-2776y99177-2080m40.tiff,no,11.618938,0,unseen
Experiment-112_b0s5c0x38613-2776y125315-2080m81.tiff,no,12.83042,0,unseen
Experiment-112_b0s3c0x228307-2776y114153-2080m143.tiff,no,10.14123,0,unseen
Experiment-112_b0s5c0x28619-2776y117827-2080m31.tiff,no,9.941528,0,unseen
Part-one_b0s0c0x302170-2776y3744-2080m19.tiff,no,16.374794,0,unseen
Experiment-112_b0s1c0x428788-2776y12283-2080m9.tiff,no,11.158664,0,unseen
Experiment-112_b0s3c0x228307-2776y117897-2080m162.tiff,no,9.83518,0,unseen
Part-one_b0s1c0x320261-2776y66891-2080m312.tiff,no,13.732762,0,unseen
Experiment-112_b0s3c0x223310-2776y108537-2080m106.tiff,no,11.46291,0,unseen
Experiment-112_b0s0c0x394919-2776y20592-2080m116.tiff,no,10.430854,0,unseen
Experiment-112_b0s0c0x389922-2776y3744-2080m15.tiff,no,11.634494,0,unseen
Experiment-112_b0s5c0x53603-2776y127187-2080m99.tiff,no,10.673942,0,unseen
